id,srcip,srcmac,srcport,dstip,dstmac,dstport,protocol,packets,neighbors
0,192.168.50.45,64:00:6A:6E:20:01,58612,192.168.50.249,00:0C:26:0F:F4:57,8000,6,11066,-1
1,192.168.60.101,E0:DC:A0:35:A3:DA,102,192.168.60.107,54:B2:03:8B:7F:3B,62687,6,4792,-1
3,192.168.60.192,A4:CF:12:17:E8:E4,61463,192.168.60.2,B8:27:EB:08:52:93,1883,6,48,-1
4,192.168.50.248,54:B2:03:8B:7D:69,10036,192.168.50.106,02:01:A6:C3:D8:5E,502,6,144,-1
5,192.168.50.248,54:B2:03:8B:7D:69,10037,192.168.50.58,00:0F:73:01:35:66,44818,6,240,-1
6,192.168.50.248,54:B2:03:8B:7D:69,10108,192.168.50.59,F4:54:33:A3:C7:E5,44818,6,336,-1
7,192.168.50.248,54:B2:03:8B:7D:69,10035,192.168.50.223,00:80:F4:4C:1F:C7,502,6,144,-1
8,192.168.50.248,54:B2:03:8B:7D:69,10034,192.168.50.237,B8:27:EB:9B:97:84,502,6,336,-1
9,192.168.50.248,54:B2:03:8B:7D:69,10038,192.168.50.218,00:80:F4:4C:CB:9E,502,6,144,-1
10,192.168.50.248,54:B2:03:8B:7D:69,49320,192.168.50.249,00:0C:26:0F:F4:57,56902,6,748,-1
11,192.168.50.249,00:0C:26:0F:F4:57,10763,192.168.50.45,64:00:6A:6E:20:01,58609,6,64,-1
12,192.168.50.249,00:0C:26:0F:F4:57,10763,192.168.50.45,64:00:6A:6E:20:01,58608,6,64,-1
13,192.168.50.249,00:0C:26:0F:F4:57,10763,192.168.50.45,64:00:6A:6E:20:01,58607,6,64,-1
14,192.168.50.249,00:0C:26:0F:F4:57,10763,192.168.50.45,64:00:6A:6E:20:01,58606,6,64,-1
16,192.168.60.201,E0:DC:A0:58:67:99,102,192.168.60.202,E0:DC:A0:72:6A:50,59544,6,76,-1
23,192.168.60.225,58:52:8A:F7:C5:DD,5010,192.168.60.149,00:0C:26:1E:FD:20,42613,6,8,-1
62,192.168.60.210,B8:27:EB:B8:03:59,35238,192.168.60.5,00:E0:4C:DC:00:6A,514,6,4,-1
658,192.168.60.191,BC:30:5B:B5:40:A4,49313,192.168.51.141,AC:F5:E6:D9:FE:C4,8080,6,4,-1
788,192.168.60.107,54:B2:03:8B:7F:3B,60309,151.101.1.195,AC:F5:E6:D9:FE:C4,80,6,2,-1
790,192.168.50.45,64:00:6A:6E:20:01,50636,52.152.110.14,AC:F5:E6:D9:FE:E8,443,6,2,-1
794,192.168.50.45,64:00:6A:6E:20:01,50637,52.113.195.132,AC:F5:E6:D9:FE:E8,443,6,2,-1
796,192.168.50.45,64:00:6A:6E:20:01,50638,51.105.71.136,AC:F5:E6:D9:FE:E8,443,6,2,-1
797,192.168.50.45,64:00:6A:6E:20:01,50639,20.190.154.137,AC:F5:E6:D9:FE:E8,443,6,2,-1
798,192.168.50.45,64:00:6A:6E:20:01,50640,52.113.195.132,AC:F5:E6:D9:FE:E8,443,6,2,-1
799,192.168.50.45,64:00:6A:6E:20:01,50641,172.217.164.163,AC:F5:E6:D9:FE:E8,80,6,2,-1
800,192.168.60.107,54:B2:03:8B:7F:3B,60310,20.190.151.132,AC:F5:E6:D9:FE:C4,443,6,2,-1
804,192.168.60.107,54:B2:03:8B:7F:3B,60311,20.54.89.106,AC:F5:E6:D9:FE:C4,443,6,4,-1
805,192.168.50.45,64:00:6A:6E:20:01,50642,52.113.195.132,AC:F5:E6:D9:FE:E8,443,6,4,-1
808,192.168.50.45,64:00:6A:6E:20:01,50643,52.113.195.132,AC:F5:E6:D9:FE:E8,443,6,4,-1
810,192.168.60.191,BC:30:5B:B5:40:A4,49350,142.251.33.206,AC:F5:E6:D9:FE:C4,443,6,4,-1
